GN_Genre_Lv1	GN_Genre_Lv2	Cochl_Genre_V1	Cochl_Genre_V1.5	Cochl_Genre_V2?
Alternative	Industrial, Goth & Experimental	Alternative	Alternative	Alternative Rock
Metal	Extreme Metal	Metal	Metal	Metal
Latin	Fado, Flamenco & Tango	Latin	Latin	Latin
Film/TV Score	Action & Adventure	Instrumental	Instrumental	X
Film/TV Score	Drama	Instrumental	Instrumental	X
Film/TV Score	Sci-Fi & Horror	Instrumental	Instrumental	X
Film/TV Score	Mystery	Instrumental	Instrumental	X
Film/TV Score	Romance	Instrumental	Instrumental	X
Folk	Folk Guitar	Folk	Folk	Folk
Rap/Hip-Hop	G-Funk	Hip-Hop	Hip-Hop	Hip-Hop
World	Southeast Asian Traditional	World	World	World
Rap/Hip-Hop	Global Rap & Hip-Hop	Hip-Hop	Hip-Hop	Hip-Hop
Rap/Hip-Hop	Old School & Golden Age	Hip-Hop	Hip-Hop	Hip-Hop
World	Middle Eastern & Mediterranean Traditional	World	World	World
Punk	Hardcore Punk	Punk	Punk	Punk
Electronica	Techno	Electronic	Electronic	Techno
Global Pop	Hawaiian	Pop	Pop	Global Pop
Metal	Heavy Metal	Metal	Metal	Metal
Classical	Impressionism	Classical	Classical	Classical
World	South Asian Traditional	World	World	World
Electronica	IDM	Electronic	Electronic	Electronica
Global Pop	Middle Eastern & Mediterranean Pop	Pop	Pop	Global Pop
Alternative	Power Pop	Alternative	Alternative	Alternative
Jazz	Fusion & Jazz Funk	Jazz	Jazz	Jazz
Traditional Pop	Traditional Pop Vocals	Pop	Traditional Pop	Classic Pop
Traditional Pop	Kayoukyoku	Pop	Traditional Pop	Classic Pop
Pop	Easy Pop	Pop	Pop	Pop
Jazz	Latin Jazz	Jazz	Jazz	Jazz
Pop	Pop Vocal Ballad	Ballad	Ballad	Ballad
Soul/R&B	Pop Soul	R&B/Soul	R&B	Soul/R&B
Latin	Ranchera & Mariachi	Latin	Latin	Latin
Classical	Medieval	Classical	Classical	Classical
Classical	Minimalism	Classical	Classical	Classical
Latin	Brazilian Pop	Latin	Latin	Latin
Soul/R&B	Neo-Soul	R&B/Soul	R&B	Soul/R&B
New Age	New Age & New Acoustic	New-Age	New-Age	New Age
Alternative	New Wave	Alternative	Alternative	New Wave
Latin	Norteño & Tejano	Latin	Latin	Latin
Rap/Hip-Hop	Pop Rap	Hip-Hop	Hip-Hop	Rap/Hip-Hop
Reggae	Roots Reggae	Reggae	Reggae	Reggae
Latin	Reggaetón	Latin	Latin	Latin
Pop	Pop Singer-Songwriter	Pop	Pop	Pop
Indie	Trip Hop, Beats & Chill Indie	Indie	Indie	Indie
Alternative	Post-Punk	Alternative	Alternative	Alternative
Indie	Post-Rock	Indie	Indie	Indie
Rock	Progressive Rock	Rock	Rock	Rap/Hip-Hop
Rap/Hip-Hop	Rap / R&B Crossover	Hip-Hop	Hip-Hop	Classical
Classical	Renaissance Era	Classical	Classical	Classical
Rock	Strumming Rock	Rock	Rock	Rock
Classical	Romantic Era	Classical	Classical	Classical
Latin	Soca & Zouk	Latin	Latin	Latin
Pop	Soft Jazz Vocal	Pop	Pop	Pop
Other	Sound Effects	Instrumental	Instrumental	X
Alternative	Synth & Techno Pop	Alternative	Alternative	Alternative
Soul/R&B	Urban Pop	R&B/Soul	R&B	Soul/R&B
Electronica	Trance	Electronic	Electronic	Electronica
Dance & House	Tropical House	Dance	Dance	Dance & House
Soul/R&B	Urban AC	R&B/Soul	R&B	Soul/R&B
Soul/R&B	Urban Contemporary	R&B/Soul	R&B	Soul/R&B
